company_name,work_hours,job_titles,skills
Solomon-Baker,07:32 - 05:23,"['Administrator, education', 'Archaeologist', 'Recruitment consultant', 'Lobbyist', 'Hydrologist', 'Radio producer']","[['they', 'class'], ['well', 'whom', 'might'], ['special', 'discussion', 'space', 'point'], ['much'], ['thing', 'source', 'no', 'expert', 'person'], ['issue', 'type', 'six', 'may']]"
Palmer-Martin,07:21 - 17:05,"['Teacher, adult education', 'Civil Service fast streamer', 'Environmental education officer', 'Geochemist', 'Engineer, electrical', 'Cytogeneticist', 'Automotive engineer']","[['magazine', 'board'], ['hit', 'want', 'big'], ['today', 'style', 'easy', 'quite'], ['stand', 'month', 'station'], ['opportunity', 'consider', 'remain'], ['film', 'because', 'fear', 'thought'], ['it']]"
Newton-Elliott,14:22 - 11:39,"['Accountant, chartered management', 'Naval architect']","[['read'], ['rate']]"
"Fry, Thomas and Villanueva",15:53 - 08:12,"['Therapist, drama', 'Data scientist', 'Interpreter', 'Advertising account executive']","[['sister', 'color', 'soon', 'look', 'at'], ['win', 'how', 'necessary'], ['beyond', 'live'], ['concern']]"
Smith and Sons,15:45 - 18:20,"['Editor, film/video', 'Designer, ceramics/pottery', 'Location manager', 'Risk analyst', 'Games developer', 'Accommodation manager', 'Leisure centre manager', 'Teacher, early years/pre', 'Television floor manager']","[['energy', 'response', 'song', 'work'], ['score', 'which'], ['behind'], ['field', 'among', 'next'], ['coach', 'financial', 'paper'], ['even', 'dream', 'economic', 'shake'], ['son', 'physical', 'foreign', 'off'], ['concern', 'bar'], ['record', 'night', 'all', 'need', 'blue']]"
Kramer-James,19:09 - 16:09,"['Programmer, applications', 'Administrator, sports']","[['turn', 'wait', 'away'], ['smile']]"
"Moreno, Bradford and Davis",12:00 - 11:44,"['Doctor, general practice', 'Publishing copy', 'Surveyor, minerals']","[['wall', 'young'], ['born', 'guy', 'operation', 'feel', 'bring'], ['exactly', 'live', 'suggest']]"
Sparks Inc,03:19 - 03:31,"['Scientist, product/process development', 'Travel agency manager', 'Lecturer, further education', 'Land', 'Retail manager', 'Publishing copy']","[['might'], ['prepare'], ['maybe', 'expert', 'week'], ['this', 'hit', 'my', 'newspaper'], ['us', 'avoid', 'administration'], ['need', 'tonight', 'hard', 'suddenly']]"
Thomas LLC,08:38 - 21:35,"['Phytotherapist', 'Mechanical engineer', 'Engineer, land', 'Podiatrist', 'Contracting civil engineer', 'Civil Service fast streamer', 'Medical illustrator']","[['work', 'answer', 'meeting', 'realize', 'treat'], ['onto', 'section', 'author', 'keep', 'day'], ['capital', 'less', 'single', 'effect'], ['tell', 'time', 'minute', 'town', 'system'], ['research'], ['action', 'health', 'word', 'bad'], ['manage', 'still', 'and', 'smile']]"
Bolton-Rubio,21:55 - 07:27,"['Mental health nurse', 'Chief Executive Officer']","[['wind'], ['push', 'without']]"
"Cooper, Avery and Castillo",16:21 - 18:59,"['Journalist, newspaper', 'Secretary, company', 'Interpreter', 'Advertising account planner', 'Teacher, early years/pre']","[['trial', 'company', 'as'], ['black', 'act', 'stock', 'there', 'network'], ['job', 'strategy'], ['community', 'question'], ['catch', 'cup']]"
Klein-Burke,06:40 - 07:02,"['Insurance account manager', 'Development worker, international aid', 'Warden/ranger', 'Editor, magazine features', 'Chartered accountant', 'Volunteer coordinator', 'Clinical scientist, histocompatibility and immunogenetics', 'Copywriter, advertising', 'Therapist, horticultural', 'Engineer, mining']","[['or', 'available'], ['physical', 'still', 'effect'], ['every', 'stop', 'main'], ['history', 'life'], ['standard'], ['successful', 'capital', 'everybody', 'financial'], ['prove', 'lay', 'draw'], ['support', 'lead'], ['to', 'full', 'ball'], ['either', 'may', 'mouth', 'daughter']]"
